year,country_residence_iso3,n_billionaires,total_wealth,median_wealth,median_age,share_self_made
2008,GBR,37,180800000000,2600000000,56,0.3333333333333333
2008,GEO,1,6400000000,6400000000,52,NA
2008,HKG,27,137600000000,2500000000,58,0.5
2008,HUN,1,1100000000,1100000000,62,NA
2008,IDN,3,5200000000,2000000000,67,NA
2008,IND,36,256800000000,3250000000,56.5,0.5
2008,IRL,3,7400000000,2500000000,58,NA
2008,ISR,6,20000000000,3550000000,61,0
2008,ITA,10,43600000000,2900000000,68.5,NA
2008,JPN,18,55100000000,2150000000,62,1
2008,KAZ,7,21800000000,3300000000,47,NA
2008,KOR,8,15300000000,1950000000,59.5,NA
2008,KWT,2,5600000000,2800000000,30.5,NA
2008,LBN,2,5200000000,2600000000,26,NA
2008,MCO,2,13300000000,6650000000,73.5,NA
2008,MEX,8,92600000000,5300000000,65,NA
2008,MYS,7,23700000000,2300000000,69,NA
2008,NGA,1,3300000000,3300000000,0,NA
2008,NLD,3,5800000000,2000000000,66,NA
2008,NOR,4,11800000000,2950000000,64,NA
2008,NZL,2,6800000000,3400000000,50,NA
2008,PHL,2,2900000000,1450000000,78,0
2008,POL,3,7200000000,2600000000,46,0
2008,PRT,2,9000000000,4500000000,71.5,NA
2008,ROU,1,1200000000,1200000000,68,1
2008,RUS,64,420300000000,3700000000,45,0.6
2008,SAU,8,57500000000,5150000000,50,NA
2008,SGP,5,9800000000,1700000000,54,0
2008,SWE,6,33000000000,2350000000,60,NA
2008,THA,3,8800000000,3500000000,68,0
2008,TUR,27,51100000000,1700000000,54,0
2008,TWN,6,22700000000,3000000000,57.5,NA
2008,UKR,5,23900000000,4200000000,41,NA
2008,USA,368,1426400000000,2200000000,65,0.03939393939393939
2008,VEN,2,9600000000,4800000000,52,NA
2008,ZAF,3,11900000000,3800000000,57,NA
2008,NA,29,112600000000,2900000000,73,0
2009,ARE,4,9600000000,2400000000,0,NA
2009,ARG,1,1800000000,1800000000,74,NA
2009,AUS,10,19200000000,1700000000,63,0
2009,AUT,3,10900000000,3700000000,68,NA
2009,BEL,1,2400000000,2400000000,83,NA
2009,BHS,1,2500000000,2500000000,72,NA
2009,BRA,12,39100000000,2600000000,69.5,NA
2009,CAN,15,45100000000,2100000000,67,NA
2009,CHE,14,74000000000,3350000000,66.5,NA
2009,CHL,3,12900000000,5900000000,59,NA
2009,CHN,29,45000000000,1400000000,52,0.5
2009,COL,1,2400000000,2400000000,76,NA
2009,CYM,1,2400000000,2400000000,62,NA
2009,CZE,1,6000000000,6000000000,44,NA
2009,DEU,39,133200000000,2100000000,64,NA
2009,DNK,2,3100000000,1550000000,61,NA
2009,EGY,3,7800000000,3000000000,54,NA
2009,ESP,10,34100000000,1850000000,60,0
2009,FRA,9,54500000000,3200000000,71,NA
2009,GBR,33,104100000000,1800000000,58,0.25
2009,GEO,1,3200000000,3200000000,53,NA
2009,HKG,19,73200000000,1800000000,60,NA
2009,IDN,3,4400000000,1700000000,68,NA
2009,IND,21,85500000000,2600000000,58,1
2009,IRL,3,6000000000,2200000000,59,NA
2009,ISR,7,13500000000,2000000000,64,0
2009,ITA,10,25900000000,1500000000,69.5,NA
2009,JPN,15,44000000000,2500000000,64,0
2009,KAZ,3,3600000000,1200000000,55,NA
2009,KOR,4,6800000000,1400000000,66,NA
2009,KWT,2,2200000000,1100000000,31,NA
2009,LBN,2,4000000000,2000000000,56.5,NA
2009,MCO,2,11100000000,5550000000,74.5,NA
2009,MEX,9,55100000000,2600000000,65,NA
2009,MYS,5,15900000000,2500000000,70,NA
2009,NGA,2,3700000000,1850000000,46.5,1
2009,NLD,2,3800000000,1900000000,64.5,NA
2009,NOR,4,7600000000,1750000000,65,NA
2009,NZL,2,5500000000,2750000000,51,NA
2009,PHL,2,4100000000,2050000000,79,0
2009,POL,2,3600000000,1800000000,62,0
2009,PRT,1,3300000000,3300000000,74,NA
2009,RUS,29,96000000000,2500000000,47,0
2009,SAU,9,45100000000,3500000000,50,NA
2009,SGP,3,4000000000,1400000000,50,0
2009,SWE,5,24400000000,2000000000,61,NA
2009,THA,3,7100000000,2100000000,69,0
2009,TUR,13,18500000000,1100000000,60,NA
2009,TWN,5,10500000000,2000000000,58,NA
2009,UKR,4,6700000000,1500000000,44.5,NA
2009,USA,323,987400000000,1700000000,66,0
2009,VEN,2,5800000000,2900000000,53,NA
2009,ZAF,3,7500000000,1300000000,58,NA
